language,term,schedule,studies,degree,ects,ects_semester,codigo,nombre,official_name,english_name,note_comment,url_guia,source_label,program_label,source_url,source_file,syllabus_links_json,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label
English,Fall,Unknown,Master,2-MBA,3.0,3.0,IBS-MBA-614,La Estrategia en Acción / Making Strategy,La Estrategia en Acción,Making Strategy,Permission needed for final-year undergraduates,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,english,unknown
English,All-year,Unknown,Undergraduate,1-ADE,6.0,3.0,IIM-ADE-101,Idioma I (English for Business Studies I) B2 / English for Business Studies I (B2),Idioma I (English for Business Studies I) B2,English for Business Studies I (B2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,1-ADE,6.0,3.0,IIM-ADE-102,Idioma I (English for Business Studies I) C1 / English for Business Studies I (C1),Idioma I (English for Business Studies I) C1,English for Business Studies I (C1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,2-ADE,6.0,3.0,IIM-ADE-226,Idioma II (English for Business Studies II) B2 / English for Business Studies II (B2),Idioma II (English for Business Studies II) B2,English for Business Studies II (B2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,2-ADE,6.0,3.0,IIM-ADE-227,Idioma II (English for Business Studies II) C1 / English for Business Studies II (C1),Idioma II (English for Business Studies II) C1,English for Business Studies II (C1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,1-DCC,6.0,3.0,IIM-DCC-101E,English for Engineers I (B2.1),English for Engineers I (B2.1),English for Engineers I (B2.1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,1-DCC,6.0,3.0,IIM-DCC-102E,English for Engineers I (C1.1),English for Engineers I (C1.1),English for Engineers I (C1.1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,1-DCC,6.0,3.0,IIM-DCC-103E,English for Engineers I (C2.1),English for Engineers I (C2.1),English for Engineers I (C2.1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,2-DCC,6.0,3.0,IIM-DCC-201E,English for Engineers II (B2.2),English for Engineers II (B2.2),English for Engineers II (B2.2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,2-DCC,6.0,3.0,IIM-DCC-202E,English for Engineers II (C1.2),English for Engineers II (C1.2),English for Engineers II (C1.2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,2-DCC,6.0,3.0,IIM-DCC-203E,English for Engineers II (C2.2),English for Engineers II (C2.2),English for Engineers II (C2.2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,3-DCC,6.0,3.0,IIM-DCC-301,Communication Skills (B2),Communication Skills (B2),Communication Skills (B2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,3-DCC,6.0,3.0,IIM-DCC-302,Communication Skills (C1),Communication Skills (C1),Communication Skills (C1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
