codigo,nombre,link
82.08,Cloud Computing,https://drive.google.com/file/d/1WlfJbgZCTNFU97p19JezVEpAOKia4rpM/view?usp=drivesdk
82.18,Procesamiento del Lenguaje Natural,https://drive.google.com/file/d/1uFfR4-6q_YCcgbKZjIC9VxN3309na6yO/view?usp=drivesdk
82.21,Factibilidad de Proyectos Data Driven,https://drive.google.com/file/d/1cYnIdUr598EN8NYVbG6KZYD3OO30Bzoq/view?usp=drivesdk
94.23,Formación General III,https://drive.google.com/file/d/1QZiztgthIfM7umjM0BuFXCAl-sBLRMXC/view?usp=drivesdk
94.26,Comunicación Organizacional,
94.42,Comunicación Estratégica,https://drive.google.com/file/d/1h8LsKe-HsquLP9nwrB6TxyscSg5PVMWH/view?usp=drivesdk
94.52,Inglés II,https://drive.google.com/file/d/1qF8RT6ou6OeRZhZD09vmKEPleilzDISr/view?usp=drivesdk
94.62,Ética en los Negocios,https://drive.google.com/file/d/1FK6emzTGhyNQ4I-sf46EGv6axlgisvk1/view?usp=drivesdk
94.64,Prácticas Expositivas,https://drive.google.com/file/d/1Cci-Lcg8qzP1JJxH1hbihQFNbItBLHQS/view?usp=drivesdk
94.65,Practica Profesional supervisada,https://drive.google.com/file/d/13ZmriWy6OLyHBtXLB02B0o7MTwmG8mgx/view?usp=drivesdk
94.92,Escritura Académica,
